Rosenbrock part
iter = 1 	 x = 0 	 y = 0 
iter = 2 	 x = 0 	 y = 0 
iter = 3 	 x = 0 	 y = 0 
iter = 4 	 x = 0 	 y = 0 
iter = 5 	 x = 0 	 y = 0 
iter = 6 	 x = 0 	 y = 0 
iter = 7 	 x = 0.00793056 	 y = 0.000616845 
iter = 8 	 x = 0.015948 	 y = 0.000917293 
iter = 9 	 x = 0.0237822 	 y = 0.00105159 
iter = 10 	 x = 0.0241375 	 y = 0.000973935 
iter = 11 	 x = 0.0280207 	 y = 0.000975676 
iter = 12 	 x = 0.0299603 	 y = 0.000976893 
iter = 13 	 x = 0.033837 	 y = 0.000979733 
iter = 14 	 x = 0.0415734 	 y = 0.000987365 
iter = 15 	 x = 0.0568679 	 y = 0.00101533 
iter = 16 	 x = 0.0568679 	 y = 0.00101533 
iter = 17 	 x = 0.0565676 	 y = 0.00117078 
iter = 18 	 x = 0.0617551 	 y = 0.00147739 
iter = 19 	 x = 0.0629803 	 y = 0.00209919 
iter = 20 	 x = 0.0771105 	 y = 0.00333498 
iter = 21 	 x = 0.0843452 	 y = 0.00582162 
iter = 22 	 x = 0.0843452 	 y = 0.00582162 
iter = 23 	 x = 0.0843452 	 y = 0.00582162 
iter = 24 	 x = 0.0910551 	 y = 0.00625159 
iter = 25 	 x = 0.0983931 	 y = 0.00835856 
iter = 26 	 x = 0.119613 	 y = 0.011656 
iter = 27 	 x = 0.150316 	 y = 0.0199416 
iter = 28 	 x = 0.150316 	 y = 0.0199416 
iter = 29 	 x = 0.150316 	 y = 0.0199416 
iter = 30 	 x = 0.16073 	 y = 0.0234915 
iter = 31 	 x = 0.183005 	 y = 0.03017 
iter = 32 	 x = 0.222123 	 y = 0.0450267 
iter = 33 	 x = 0.222123 	 y = 0.0450267 
iter = 34 	 x = 0.222123 	 y = 0.0450267 
iter = 35 	 x = 0.234827 	 y = 0.0520845 
iter = 36 	 x = 0.26276 	 y = 0.0651908 
iter = 37 	 x = 0.26276 	 y = 0.0651908 
iter = 38 	 x = 0.2856 	 y = 0.0801736 
iter = 39 	 x = 0.312985 	 y = 0.0935137 
iter = 40 	 x = 0.356884 	 y = 0.124017 
iter = 41 	 x = 0.356884 	 y = 0.124017 
iter = 42 	 x = 0.356884 	 y = 0.124017 
iter = 43 	 x = 0.372559 	 y = 0.13561 
iter = 44 	 x = 0.403789 	 y = 0.15888 
iter = 45 	 x = 0.403789 	 y = 0.15888 
iter = 46 	 x = 0.403789 	 y = 0.15888 
iter = 47 	 x = 0.416423 	 y = 0.170425 
iter = 48 	 x = 0.442968 	 y = 0.192538 
iter = 49 	 x = 0.442968 	 y = 0.192538 
iter = 50 	 x = 0.466896 	 y = 0.216561 
iter = 51 	 x = 0.492967 	 y = 0.239048 
iter = 52 	 x = 0.492967 	 y = 0.239048 
iter = 53 	 x = 0.515071 	 y = 0.264209 
iter = 54 	 x = 0.491715 	 y = 0.239813 
iter = 55 	 x = 0.539776 	 y = 0.287722 
iter = 56 	 x = 0.561779 	 y = 0.312942 
